participant_id,dataset,oracle,search,condition,task,task_type,time
partcipant40,birdstrikes,dziban,dfs,dziban_dfs,3. Prediction,Open-Ended,1401570
partcipant45,movies,compassql,dfs,compassql_dfs,3. Prediction,Open-Ended,730911
partcipant30,movies,dziban,dfs,dziban_dfs,3. Prediction,Open-Ended,377597
partcipant52,birdstrikes,dziban,bfs,dziban_bfs,4. Exploration,Open-Ended,548394
partcipant3,birdstrikes,compassql,bfs,compassql_bfs,4. Exploration,Open-Ended,954624
partcipant31,birdstrikes,dziban,dfs,dziban_dfs,3. Prediction,Open-Ended,390969
partcipant4,movies,compassql,dfs,compassql_dfs,3. Prediction,Open-Ended,1035578
partcipant50,birdstrikes,compassql,dfs,compassql_dfs,3. Prediction,Open-Ended,732418
partcipant9,movies,dziban,bfs,dziban_bfs,2. Retrieve Value,Focused,262809
partcipant32,movies,compassql,bfs,compassql_bfs,4. Exploration,Open-Ended,762361
partcipant14,movies,compassql,dfs,compassql_dfs,2. Retrieve Value,Focused,432948
partcipant26,birdstrikes,dziban,bfs,dziban_bfs,3. Prediction,Open-Ended,355453
partcipant43,movies,dziban,bfs,dziban_bfs,2. Retrieve Value,Focused,88999
partcipant35,movies,compassql,bfs,compassql_bfs,1. Find Extremum,Focused,118354
partcipant42,birdstrikes,dziban,bfs,dziban_bfs,2. Retrieve Value,Focused,212966
partcipant54,movies,dziban,dfs,dziban_dfs,2. Retrieve Value,Focused,536050
partcipant27,birdstrikes,dziban,bfs,dziban_bfs,2. Retrieve Value,Focused,155633
partcipant49,birdstrikes,compassql,bfs,compassql_bfs,4. Exploration,Open-Ended,617956
partcipant23,birdstrikes,compassql,dfs,compassql_dfs,1. Find Extremum,Focused,776278
partcipant59,movies,compassql,bfs,compassql_bfs,3. Prediction,Open-Ended,581608
partcipant28,birdstrikes,compassql,bfs,compassql_bfs,4. Exploration,Open-Ended,622002
partcipant34,birdstrikes,dziban,dfs,dziban_dfs,2. Retrieve Value,Focused,317898
partcipant47,movies,dziban,bfs,dziban_bfs,2. Retrieve Value,Focused,164610
partcipant29,movies,compassql,bfs,compassql_bfs,4. Exploration,Open-Ended,985296
