participant_id,participant_group,dataset,oracle,search,task,confidence-udata,confidence-ans,efficiency,ease-of-use,utility,overall
stu24,student,movies,compassql,bfs,3. Prediction,1,0,0,1,1,1
stu37,student,movies,dziban,dfs,2. Retrieve Value,1,1,-1,-1,-1,-1
pro15,professional,movies,dziban,bfs,3. Prediction,1,1,-1,-1,-1,0
pro1,professional,birdstrikes,compassql,dfs,3. Prediction,-1,0,-2,-2,-2,-2
stu8,student,birdstrikes,compassql,bfs,3. Prediction,1,-1,1,1,0,2
stu39,student,movies,dziban,dfs,3. Prediction,1,2,-1,1,1,-1
stu15,student,movies,dziban,bfs,3. Prediction,0,0,2,2,2,2
stu26,student,movies,compassql,bfs,1. Find Extremum,1,2,-1,-1,-1,0
stu11,student,movies,dziban,dfs,3. Prediction,2,2,1,1,1,1
stu19,student,birdstrikes,dziban,bfs,1. Find Extremum,2,2,1,1,1,1
stu34,student,birdstrikes,compassql,dfs,4. Exploration,2,1,0,-1,-1,0
pro9,professional,movies,compassql,dfs,4. Exploration,1,2,1,-1,1,1
stu35,student,birdstrikes,dziban,bfs,4. Exploration,1,1,2,1,1,1
stu36,student,movies,dziban,dfs,4. Exploration,2,2,2,2,2,2
stu20,student,birdstrikes,dziban,dfs,1. Find Extremum,0,0,0,0,0,0
pro8,professional,movies,compassql,dfs,2. Retrieve Value,1,1,1,-1,1,-1
stu4,student,movies,dziban,bfs,2. Retrieve Value,2,2,-1,1,-1,0
stu28,student,birdstrikes,dziban,bfs,2. Retrieve Value,1,2,0,-2,1,-2
pro10,professional,birdstrikes,dziban,dfs,4. Exploration,1,0,0,1,1,1
stu17,student,movies,compassql,bfs,2. Retrieve Value,2,2,2,1,-2,1
stu13,student,movies,compassql,dfs,2. Retrieve Value,1,0,1,1,1,1
pro5,professional,movies,dziban,dfs,4. Exploration,1,1,2,1,2,1
pro2,professional,birdstrikes,compassql,bfs,2. Retrieve Value,1,1,1,1,1,1
pro7,professional,birdstrikes,dziban,bfs,2. Retrieve Value,1,1,1,0,1,1
pro18,professional,movies,dziban,dfs,3. Prediction,1,1,0,1,-1,-1
stu30,student,movies,dziban,dfs,3. Prediction,1,1,1,1,2,1
stu1,student,birdstrikes,compassql,bfs,3. Prediction,1,1,1,1,1,0
pro11,professional,birdstrikes,compassql,dfs,1. Find Extremum,0,0,-1,-1,-1,-1
pro26,professional,birdstrikes,dziban,bfs,3. Prediction,2,2,2,1,2,2
pro17,professional,movies,compassql,bfs,2. Retrieve Value,2,1,-1,1,-2,-1
pro14,professional,birdstrikes,dziban,dfs,1. Find Extremum,1,1,2,1,1,2
stu5,student,birdstrikes,compassql,dfs,3. Prediction,0,0,0,-1,1,0
stu26,student,movies,compassql,bfs,2. Retrieve Value,1,2,-1,1,-1,1
stu16,student,birdstrikes,compassql,dfs,3. Prediction,2,2,0,1,0,1
stu2,student,birdstrikes,compassql,bfs,4. Exploration,2,2,2,1,1,1
stu19,student,birdstrikes,dziban,bfs,2. Retrieve Value,1,1,1,1,1,1
stu37,student,movies,dziban,dfs,1. Find Extremum,0,1,-1,-1,-1,-1
stu27,student,birdstrikes,dziban,dfs,3. Prediction,1,0,0,1,1,1
stu14,student,birdstrikes,compassql,dfs,1. Find Extremum,1,2,-1,-1,-1,1
stu31,student,movies,dziban,bfs,3. Prediction,1,1,1,0,1,0
stu37,student,movies,dziban,dfs,4. Exploration,1,0,1,0,1,1
stu29,student,movies,dziban,bfs,3. Prediction,2,1,2,2,2,2
pro3,professional,movies,compassql,bfs,3. Prediction,1,1,2,2,2,1
pro16,professional,birdstrikes,compassql,bfs,3. Prediction,2,1,2,2,1,1
stu34,student,birdstrikes,compassql,dfs,2. Retrieve Value,2,2,-1,1,-2,1
pro9,professional,movies,compassql,dfs,2. Retrieve Value,0,2,-1,-1,1,1
stu35,student,birdstrikes,dziban,bfs,2. Retrieve Value,1,2,2,2,2,1
stu2,student,birdstrikes,compassql,bfs,1. Find Extremum,1,1,2,1,2,1
stu23,student,birdstrikes,dziban,dfs,3. Prediction,1,1,0,1,0,1
