participant_id,participant_group,dataset,oracle,search,task,completion_time
stu29,student,movies,dziban,bfs,2. Retrieve Value,88.999
stu29,student,movies,dziban,bfs,3. Prediction,378.74
stu29,student,movies,dziban,bfs,4. Exploration,493.578
stu2,student,birdstrikes,compassql,bfs,1. Find Extremum,299.53
stu2,student,birdstrikes,compassql,bfs,2. Retrieve Value,157.941
stu2,student,birdstrikes,compassql,bfs,3. Prediction,555.236
stu2,student,birdstrikes,compassql,bfs,4. Exploration,954.624
stu30,student,movies,dziban,dfs,1. Find Extremum,127.562
stu30,student,movies,dziban,dfs,2. Retrieve Value,87.353
stu30,student,movies,dziban,dfs,3. Prediction,595.914
stu30,student,movies,dziban,dfs,4. Exploration,597.168
stu31,student,movies,dziban,bfs,1. Find Extremum,287.882
stu31,student,movies,dziban,bfs,2. Retrieve Value,164.61
stu31,student,movies,dziban,bfs,3. Prediction,473.256
stu31,student,movies,dziban,bfs,4. Exploration,802.248
stu32,student,birdstrikes,compassql,bfs,1. Find Extremum,156.766
stu32,student,birdstrikes,compassql,bfs,2. Retrieve Value,213.068
stu32,student,birdstrikes,compassql,bfs,3. Prediction,614.957
stu32,student,birdstrikes,compassql,bfs,4. Exploration,560.507
stu33,student,birdstrikes,compassql,bfs,1. Find Extremum,343.252
stu33,student,birdstrikes,compassql,bfs,2. Retrieve Value,193.396
stu33,student,birdstrikes,compassql,bfs,3. Prediction,289.783
stu33,student,birdstrikes,compassql,bfs,4. Exploration,617.956
stu34,student,birdstrikes,compassql,dfs,1. Find Extremum,733.951
stu34,student,birdstrikes,compassql,dfs,2. Retrieve Value,172.199
stu34,student,birdstrikes,compassql,dfs,3. Prediction,732.418
stu34,student,birdstrikes,compassql,dfs,4. Exploration,523.348
stu35,student,birdstrikes,dziban,bfs,1. Find Extremum,417.279
stu35,student,birdstrikes,dziban,bfs,2. Retrieve Value,380.652
stu35,student,birdstrikes,dziban,bfs,3. Prediction,780.384
stu35,student,birdstrikes,dziban,bfs,4. Exploration,548.394
stu36,student,movies,dziban,dfs,1. Find Extremum,131.91
stu36,student,movies,dziban,dfs,2. Retrieve Value,212.66
stu36,student,movies,dziban,dfs,3. Prediction,664.562
stu36,student,movies,dziban,dfs,4. Exploration,641.783
stu37,student,movies,dziban,dfs,1. Find Extremum,131.425
stu37,student,movies,dziban,dfs,2. Retrieve Value,536.05
stu37,student,movies,dziban,dfs,3. Prediction,1440.465
stu37,student,movies,dziban,dfs,4. Exploration,927.655
stu38,student,movies,compassql,dfs,1. Find Extremum,180.368
stu38,student,movies,compassql,dfs,2. Retrieve Value,154.328
stu38,student,movies,compassql,dfs,3. Prediction,1061.322
stu38,student,movies,compassql,dfs,4. Exploration,410.176
stu39,student,movies,dziban,dfs,1. Find Extremum,173.295
stu39,student,movies,dziban,dfs,2. Retrieve Value,225.553
stu39,student,movies,dziban,dfs,3. Prediction,665.856
stu39,student,movies,dziban,dfs,4. Exploration,751.604
stu3,student,movies,compassql,dfs,1. Find Extremum,64.071
stu3,student,movies,compassql,dfs,2. Retrieve Value,274.449
stu3,student,movies,compassql,dfs,3. Prediction,1035.578
stu3,student,movies,compassql,dfs,4. Exploration,949.55
stu40,student,birdstrikes,dziban,dfs,1. Find Extremum,214.771
stu40,student,birdstrikes,dziban,dfs,2. Retrieve Value,243.737
stu40,student,birdstrikes,dziban,dfs,3. Prediction,689.81
stu40,student,birdstrikes,dziban,dfs,4. Exploration,794.259
stu4,student,movies,dziban,bfs,1. Find Extremum,229.185
stu4,student,movies,dziban,bfs,2. Retrieve Value,241.724
stu4,student,movies,dziban,bfs,3. Prediction,659.498
stu4,student,movies,dziban,bfs,4. Exploration,595.646
stu5,student,birdstrikes,compassql,dfs,1. Find Extremum,189.291
stu5,student,birdstrikes,compassql,dfs,2. Retrieve Value,191.305
stu5,student,birdstrikes,compassql,dfs,3. Prediction,591.527
stu5,student,birdstrikes,compassql,dfs,4. Exploration,597.295
stu6,student,movies,compassql,dfs,1. Find Extremum,97.353
stu6,student,movies,compassql,dfs,2. Retrieve Value,185.769
stu6,student,movies,compassql,dfs,3. Prediction,537.48
stu6,student,movies,compassql,dfs,4. Exploration,670.009
stu7,student,movies,dziban,bfs,1. Find Extremum,399.447
stu7,student,movies,dziban,bfs,2. Retrieve Value,262.809
stu7,student,movies,dziban,bfs,3. Prediction,1139.979
stu7,student,movies,dziban,bfs,4. Exploration,829.866
stu8,student,birdstrikes,compassql,bfs,1. Find Extremum,80.865
stu8,student,birdstrikes,compassql,bfs,2. Retrieve Value,366.251
stu8,student,birdstrikes,compassql,bfs,3. Prediction,712.305
stu8,student,birdstrikes,compassql,bfs,4. Exploration,914.374
stu9,student,birdstrikes,compassql,dfs,1. Find Extremum,88.641
stu9,student,birdstrikes,compassql,dfs,2. Retrieve Value,127.336
stu9,student,birdstrikes,compassql,dfs,3. Prediction,778.919
stu9,student,birdstrikes,compassql,dfs,4. Exploration,878.045
